idx,link
78,http://www.c-span.org/video/?401762-1/presidential-candidate-donald-trump-rally-mount-pleasant-south-carolina
79,http://www.c-span.org/video/?401497-7/ential-candidate-donald-trump-republican-jewish-coalition-presidential-forum
80,http://www.c-span.org/video/?400325-1/2015-sunshine-summit
81,http://www.c-span.org/video/?400229-1/donald-trump-news-conference
82,http://www.c-span.org/video/?328830-1/donald-trump-campaign-rally-miami
83,http://www.c-span.org/video/?328623-6/presidential-candidate-donald-trump-labels-convention
84,http://www.c-span.org/video/?328732-1/donald-trump-campaign-rally-richmond-virginia
85,http://www.c-span.org/video/?328396-1/donald-trump-news-conference-tax-policy
86,http://www.c-span.org/video/?328297-1/donald-trump-town-hall-columbia-south-carolina
87,http://www.c-span.org/video/?327944-1/donald-trump-news-conference
88,http://www.c-span.org/video/?327853-1/donald-trump-remarks-nashville-tennessee
89,http://www.c-span.org/video/?327751-1/donald-trump-campaign-rally-mobile-alabama
90,http://www.c-span.org/video/?327605-1/donald-trump-campaign-rally-hampton-new-hampshire
91,http://www.c-span.org/video/?327605-2/presidential-candidate-donald-trump-news-conference-hampton-new-hampshire
92,http://www.c-span.org/video/?327525-6/presidential-candidate-donald-trump-iowa-state-fair
93,http://www.c-span.org/video/?327608-1/donald-trump-press-conference
94,http://www.c-span.org/video/?327294-3/donald-trump-news-conference-laredo-texas
95,http://www.c-span.org/video/?325374-10/donald-trump-new-hampshire-republican-leadership-summit
96,http://www.c-span.org/video/?323834-7/iowa-freedom-summit-donald-trump
97,http://www.c-span.org/video/?414555-1/hillary-clinton-addresses-american-legion-national-convention
98,http://www.c-span.org/video/?413979-1/vice-president-biden-campaigns-hillary-clinton-scranton
99,http://www.c-span.org/video/?413874-1/hillary-clinton-lays-economic-vision
100,http://www.c-span.org/video/?413605-1/hillary-clinton-addresses-journalists-convention-washington-dc
101,http://www.c-span.org/video/?413404-101/hillary-clinton-speaks-reporters-ashland-ohio
102,http://www.c-span.org/video/?413404-1/democratic-ticket-holds-campaign-rally-columbus-ohio
103,http://www.c-span.org/video/?413171-1/hillary-clinton-addresses-veterans-foreign-wars-national-convention
104,http://www.c-span.org/video/?412846-1/hillary-clinton-officially-nominated-democratic-presidential-nominee
105,http://www.c-span.org/video/?413100-1/hillary-clinton-campaigns-miami-running-mate-senator-tim-kaine
106,http://www.c-span.org/video/?412723-1/senator-tim-kaine-campaigns-hillary-clinton
107,http://www.c-span.org/video/?412145-1/president-obama-campaigns-hillary-clinton
108,http://www.c-span.org/video/?411661-1/hillary-clinton-senator-elizabeth-warren-campaign-cincinnati-ohio
109,http://www.c-span.org/video/?411566-1/hillary-clinton-orlando-mayor-buddy-dyer-address-us-conference-mayors
110,http://www.c-span.org/video/?411393-1/hillary-clinton-delivers-remarks-economy
111,http://www.c-span.org/video/?410962-1/hillary-clinton-delivers-remarks-mass-shooting-orlando-florida
112,http://www.c-span.org/video/?410914-1/hillary-clinton-addresses-planned-parenthood-action-fund
113,http://www.c-span.org/video/?410728-1/hillary-clinton-clinches-democratic-nomination
114,http://www.c-span.org/video/?410688-1/hillary-clinton-campaigns-long-beach-california
115,http://www.c-span.org/video/?406468-1/ohio-democrats-legacy-dinner
116,http://www.c-span.org/video/?410484-1/hillary-clinton-lays-national-security-priorities
117,http://www.c-span.org/video/?410128-1/hillary-clinton-campaigns-san-jose-california
118,http://www.c-span.org/video/?409318-1/hillary-clinton-addresses-supporters-louisville-kentucky
119,http://www.c-span.org/video/?409021-1/hillary-clinton-addresses-supporters-athens-ohio
120,http://www.c-span.org/video/?409021-101/hillary-clinton-campaign-stop-athens-ohio
121,http://www.c-span.org/video/?408722-1/hillary-clinton-primary-night-speech
122,http://www.c-span.org/video/?408560-1/hillary-clinton-campaign-event-scranton-pennsylvania
123,http://www.c-span.org/video/?408384-1/hillary-clinton-primary-night-speech
124,http://www.c-span.org/video/?408350-1/hillary-clinton-getoutthevote-rally
