,Clinton,Trump
achieve,0.651941611725,1.53387969415
acknowledge,3.5714109976,0.280001377795
across,3.13339420383,0.319142736263
across america,1.1767136724,0.849824407974
across our,1.73162539353,0.577492108708
across our country,2.77897534477,0.359844862201
across the,1.15735641166,0.864038069802
across the country,0.752341560706,1.32918351481
act,2.00123477331,0.499691497138
addiction,3.01866037667,0.331272775079
ads,0.568402640162,1.75931624757
advanced,5.90781372966,0.169267354348
afford,3.13393452481,0.319087712932
afford to,0.97849849869,1.02197397476
affordable,4.93800460606,0.202510949215
affordable care,2.14803103368,0.465542622207
affordable care act,1.47311031839,0.678835785423
after,1.79279411951,0.557788531944
after 9,1.52003034197,0.657881604326
after the,1.42358297084,0.702452909652
against,2.58618286008,0.38667026042
against the,1.42314238343,0.70267038045
against the lgbt,1.06427421244,0.93960746987
against them,1.42427360887,0.702112286412
age,1.92970970423,0.518212660592
agenda,1.25962087005,0.793889672499
ago,0.460439137354,2.17183970447
ahead,1.31428379019,0.760870679122
ahead and,1.48337816654,0.67413692783
ahead and stay,1.23719699035,0.808278720201
ahead of us,1.49692830974,0.668034663712
all of these,0.628508261651,1.59106898193
all of you,1.76114654769,0.567811918498
all over,0.846244677963,1.18169133117
all over the,0.441966805955,2.26261336038
alliances,4.70485168929,0.212546551101
allowed,0.137025886285,7.29789112927
almost,0.174002985776,5.74702781989
already,2.18802000943,0.457034211612
also,1.60549767264,0.622859825362
also going,1.03412144758,0.967004409725
also have,3.08253684808,0.324408125282
also have to,2.66810781296,0.374797448268
also want,1.43111848963,0.698754161339
also want to,1.69912388368,0.588538604867
am,1.08366951614,0.922790560318
am so,1.69147455682,0.591200143076
amazing,0.394131996819,2.53722105303
america,2.5710865463,0.388940621792
america and,0.473565500538,2.11164030924
america great,1.80015531823,0.555507621967
america great again,0.744398872127,1.3433658183
america s,0.387839080912,2.57838894845
america that,2.44920204388,0.408296245913
america where,1.16972480373,0.854901936604
american,1.14039273493,0.876890889756
american families,2.14067753796,0.467141819479
american muslims,2.37816646208,0.420492011786
americans,2.63362858616,0.379704262497
americans and,1.00282579015,0.997182172437
americans are,1.36989963156,0.729980486865
americans to,0.862036042298,1.16004430318
an amazing,0.900426194372,1.11058519427
an america,1.55626059469,0.642565906643
an america where,1.85625358439,0.538719498462
an economy,1.49727073697,0.667881883555
an example,0.17625918142,5.67346331659
and,0.985131199962,1.01509321808
and across,2.76092531183,0.362197411033
and america,2.32716701486,0.429707018711
and around,1.10282640302,0.906761025364
and commander,1.35537276933,0.737804405275
and communities,1.00260082378,0.99740592296
and families,1.59005247903,0.628910060004
and for,0.742865607589,1.34613850713
and for all,2.24286492644,0.44585832531
and he,0.676177552505,1.47890150493
and help,1.56499536242,0.638979529276
and hillary,0.597900408766,1.67251934493
and i said,1.0057756929,0.99425747417
and i want,0.768178695813,1.30178043917
and i will,1.56884442905,0.637411830951
and let s,0.816143615268,1.22527454886
and others,1.74206872798,0.574030165366
and our,0.848593010139,1.17842120787
and she,0.83613623769,1.19597734786
and stay,1.84176139542,0.542958497493
and the,1.24873106153,0.800812945884
and their,1.33029486717,0.751713040979
and their families,1.50813166263,0.663072081026
and they,0.700068152212,1.42843235596
and they are,0.767990835683,1.30209887089
and they said,1.14473970378,0.873561034618
and to,1.0000450259,0.999954976131
and universities,2.07129383981,0.482790022729
and we need,1.43161118077,0.698513684044
and women,0.938041359903,1.06605107487
and work,1.49187993954,0.670295225171
and you,0.795730822429,1.25670637835
announced,0.523595292456,1.90987202217
answers,4.80134650142,0.208274907821
anybody,1.02695755695,0.97375007685
anymore,0.408382634615,2.44868394305
anyone,1.38985654107,0.719498718357
anything like,0.510560236936,1.95863274822
approach,5.39783623707,0.185259418048
arab,1.65497507999,0.604238705519
are a lot,0.892504570523,1.12044244145
are going,0.381230048797,2.62308808856
are going to,1.31814825547,0.758640005668
are great,0.289962592114,3.44872072191
are more,4.40093328495,0.227224530629
are still,1.40131223924,0.713616831423
are stronger,1.9101013975,0.523532416294
are talking about,0.259075795032,3.85987428843
arkansas,9.68403134048,0.103262780225
around,1.53578901391,0.651131106516
around the,3.24371840209,0.308288166863
around the world,0.921246053251,1.08548633285
as,1.50532372157,0.664308936124
as a,0.723973587198,1.38126586064
as hard,1.02581561949,0.97483405497
as i,2.54590985032,0.392786885157
as president,1.07453021941,0.930639252335
as president i,5.17425348591,0.193264594153
as secretary,1.07778957163,0.92782489859
as we,1.38411945014,0.722480996778
as well,1.67591441534,0.59668918105
as your,1.04151531261,0.96013950817
as your president,1.08024620722,0.925714891027
at home,1.56115536742,0.640551235881
at stake,2.16908243536,0.46102443305
at the,1.33089416914,0.751374544416
at the end,1.39816778554,0.715221742586
at the top,1.23065433843,0.81257585398
at what,0.739681825829,1.3519326352
at what is,1.07594968648,0.929411488814
attacks,1.7986198732,0.55598184747
attention,8.95706372132,0.111643729587
attention to,2.08417863115,0.479805322372
auto,5.83972750315,0.171240866883
auto industry,1.39668994176,0.715978521861
avoid,6.42522827275,0.155636493763
background,2.29888366151,0.434993739241
background checks,1.9648219095,0.508951979397
bad,0.351534380001,2.84467197774
badly,0.158004760267,6.32892324453
barbara,4.95649941222,0.201755294782
bargain,4.93868532038,0.202483036502
barriers,1.30488933147,0.76634851392
barriers holding,1.17860029893,0.848464064457
barriers that,0.883016964686,1.1324810734
basic,3.62030043699,0.276220169404
be able,0.915351976829,1.09247592764
be able to,0.921624638201,1.0850404368
be done,1.32031439604,0.757395362042
be here with,0.897391567733,1.11434075821
be part,1.36826403673,0.730853090599
be secretary,2.32378333553,0.430332718507
be so,0.291421431937,3.43145661372
be successful,1.33384958072,0.749709723238
be very,0.187398425721,5.33622412329
beat,0.679242613602,1.47222800804
beautiful,0.252095307031,3.96675373206
begin,0.999517545769,1.00048268711
begin to,2.12619091867,0.470324650162
behalf,0.767238990835,1.30337484401
behalf of,1.264060023,0.791101673819
behind,2.20834201986,0.452828407469
believe,0.891755681388,1.12138337986
believe in,1.48296424344,0.674325092076
believe me,0.166427868028,6.00860908601
believe that,1.12598509532,0.888111222929
believe that we,1.66477702994,0.600681041373
believe we,2.44330364116,0.409281917791
ben,0.290034571765,3.44786483182
benefits,1.89910316036,0.526564338827
bernie,0.257581799994,3.88226186797
bernie sanders,0.774485021494,1.29118055514
best days,2.11404565067,0.473026682126
better when,1.421431856,0.70351596229
better when we,1.80210707476,0.554905984227
between,1.71106831764,0.58443020053
bigger,0.596260298452,1.67711987968
bigotry,2.95861139536,0.337996399786
billion,0.763183740196,1.31030045234
birth,2.11223789863,0.473431520498
bit,0.403854614691,2.47613859944
black,2.72404571836,0.367101034047
border,0.308519676,3.24128435815
borders,0.29140851698,3.43160869272
borrow,2.15044675768,0.465019650651
both,2.24751333585,0.444936180822
break,1.90604744956,0.524645910694
break down,1.9168430405,0.521691123827
